date,kpi_name,kpi_value,status_color,notes
2026-01-15,Inventory Turnover,4.2,Green,Improved from last quarter
2026-01-15,On-Time Delivery,92,Amber,Slight delay in Asia Pacific region
2026-01-15,Supplier Performance,88,Green,Strong compliance across vendors
2026-01-16,Cost Efficiency,95,Green,Below budget for Q1
2026-01-16,Order Accuracy,97,Green,New QA process implemented
2026-01-17,Warehouse Utilization,78,Amber,Approaching capacity in EU warehouse
2026-01-17,Lead Time Reduction,15,Green,15% improvement vs baseline
2026-01-18,Supply Chain Risk Index,25,Green,Low risk profile maintained
2026-01-18,Customer Satisfaction,4.5,Green,Survey results above target
2026-01-19,Inventory Accuracy,99.2,Green,Annual audit completed successfully
2026-01-19,Transportation Costs,85,Amber,Fuel costs impacting margins
2026-01-20,Sustainability Score,82,Green,Met environmental targets
2026-01-20,Vendor Diversity,45,Amber,Expanding supplier base in Q2
2026-01-21,Technology Adoption,70,Green,New WMS rollout on track
2026-01-21,Staff Productivity,110,Green,Exceeded productivity benchmarks
2026-01-22,Overall Supply Chain Health,89,Green,Strong performance across all metrics
